
Load Training Dataset ...
The number of training data is: 4500

Model Initial ...
Do not use pretrain model!
PARAMETER ...
Namespace(amp=True, angRes=5, batch_size=1, channels=64, data_name='HCI_new', decay_rate=0, epoch=50, gamma=0.5, global_batch_size=8, local_rank=0, lr=0.0002, model_name='LFT', n_steps=15, num_workers=4, patch_size_for_test=32, path_for_test='./data/LFSR_processed_rgb/data_for_test/', path_for_train='./data/LFSR_processed_y/data_for_train/', path_log='./log/', path_pre_pth='./pth/LFT_5x5_4x_epoch_50_model.pth', scale_factor=2, stride_for_test=16, use_pre_pth=False)
training with fp16 mode.

Start training...

Epoch 1 /50:
Train - loss: 0.00298, ssim: 39.09812, psnr: 0.99419
Train - loss: 0.00458, ssim: 37.01053, psnr: 0.98104
Train - loss: 0.00475, ssim: 38.35272, psnr: 0.96575
Train - loss: 0.00183, ssim: 46.63175, psnr: 0.99514
Train - loss: 0.00400, ssim: 39.87469, psnr: 0.97305
Train - loss: 0.00595, ssim: 35.52899, psnr: 0.95492
Train - loss: 0.00235, ssim: 43.82770, psnr: 0.99161
Train - loss: 0.00459, ssim: 38.03080, psnr: 0.97788
Train - loss: 0.00366, ssim: 36.77014, psnr: 0.98122
Train - loss: 0.00391, ssim: 39.74697, psnr: 0.97910
Train - loss: 0.00098, ssim: 51.18714, psnr: 0.99782
Train - loss: 0.00876, ssim: 31.20977, psnr: 0.95517
Train - loss: 0.00394, ssim: 39.55249, psnr: 0.97920
Train - loss: 0.01822, ssim: 26.70783, psnr: 0.82229
Train - loss: 0.01832, ssim: 26.65894, psnr: 0.81303
Train - loss: 0.00126, ssim: 47.58588, psnr: 0.99774
Train - loss: 0.00572, ssim: 36.70210, psnr: 0.95875
Train - loss: 0.00102, ssim: 51.56076, psnr: 0.99819
Train - loss: 0.00920, ssim: 31.66974, psnr: 0.93948
Train - loss: 0.00413, ssim: 38.33044, psnr: 0.98200
Train - loss: 0.00607, ssim: 36.17025, psnr: 0.95279
Train - loss: 0.00137, ssim: 48.69578, psnr: 0.99656
Train - loss: 0.00283, ssim: 40.52164, psnr: 0.98953
Train - loss: 0.00485, ssim: 35.88283, psnr: 0.98668
Train - loss: 0.00449, ssim: 38.32365, psnr: 0.96746
Train - loss: 0.00309, ssim: 42.18449, psnr: 0.98372
Train - loss: 0.00145, ssim: 47.67358, psnr: 0.99702
Train - loss: 0.00216, ssim: 44.77168, psnr: 0.99252
Train - loss: 0.00484, ssim: 36.97988, psnr: 0.97250
Train - loss: 0.00352, ssim: 37.41867, psnr: 0.99576
Train - loss: 0.00229, ssim: 43.94047, psnr: 0.99246
Train - loss: 0.00321, ssim: 41.26772, psnr: 0.98817
Train - loss: 0.00442, ssim: 38.89500, psnr: 0.96829
Train - loss: 0.00631, ssim: 33.43012, psnr: 0.96142
Train - loss: 0.00245, ssim: 44.15092, psnr: 0.98970
Train - loss: 0.00191, ssim: 44.73378, psnr: 0.99154
Train - loss: 0.00184, ssim: 44.43029, psnr: 0.99536
Train - loss: 0.00558, ssim: 35.38262, psnr: 0.95907
Train - loss: 0.00312, ssim: 41.27708, psnr: 0.98634
Train - loss: 0.00419, ssim: 38.86139, psnr: 0.98283
Train - loss: 0.00475, ssim: 35.72301, psnr: 0.98869
Train - loss: 0.00436, ssim: 37.47060, psnr: 0.97562
Train - loss: 0.00241, ssim: 43.00414, psnr: 0.99284
Train - loss: 0.00971, ssim: 32.41635, psnr: 0.89749
Train - loss: 0.00399, ssim: 39.38965, psnr: 0.97993
Train - loss: 0.00212, ssim: 45.28224, psnr: 0.99264
Train - loss: 0.00547, ssim: 35.06367, psnr: 0.97454
Train - loss: 0.00436, ssim: 36.61310, psnr: 0.98650
Train - loss: 0.00902, ssim: 32.92767, psnr: 0.91766
Train - loss: 0.00454, ssim: 38.31053, psnr: 0.98128
Train - loss: 0.00721, ssim: 34.74884, psnr: 0.93240
Train - loss: 0.00194, ssim: 45.34396, psnr: 0.99384
Train - loss: 0.00658, ssim: 35.47663, psnr: 0.94247
Train - loss: 0.00116, ssim: 48.35356, psnr: 0.99626
The 6th Train, loss is: 0.00465, psnr is 38.99761, ssim is 0.97218
Saving the epoch_06 model at log/SR_5x5_2x/LFT/HCI_new/checkpoints/LFT_5x5_2x_epoch_06_model.pth

Epoch 7 /50:
Train - loss: 0.00477, ssim: 36.37898, psnr: 0.98667
Train - loss: 0.00692, ssim: 35.16234, psnr: 0.92725
Train - loss: 0.00576, ssim: 36.34614, psnr: 0.94668
Train - loss: 0.01003, ssim: 30.26665, psnr: 0.92530
Train - loss: 0.00145, ssim: 47.31346, psnr: 0.99697
Train - loss: 0.00330, ssim: 40.58680, psnr: 0.98904
Train - loss: 0.00254, ssim: 43.15007, psnr: 0.99236
Train - loss: 0.00941, ssim: 31.05607, psnr: 0.95161
Train - loss: 0.00609, ssim: 34.13978, psnr: 0.96415
Train - loss: 0.00530, ssim: 35.44280, psnr: 0.97997
Train - loss: 0.00200, ssim: 44.86556, psnr: 0.99487
Train - loss: 0.00293, ssim: 40.64861, psnr: 0.98805
Train - loss: 0.00131, ssim: 49.24521, psnr: 0.99697
Train - loss: 0.00408, ssim: 36.43001, psnr: 0.99271
Train - loss: 0.00633, ssim: 35.90618, psnr: 0.94999
Train - loss: 0.00279, ssim: 42.23261, psnr: 0.99060
Train - loss: 0.00685, ssim: 34.85603, psnr: 0.93639
Train - loss: 0.00503, ssim: 37.95722, psnr: 0.95918
Train - loss: 0.00123, ssim: 49.90196, psnr: 0.99768
Train - loss: 0.00495, ssim: 35.88699, psnr: 0.97281
Train - loss: 0.00483, ssim: 34.99951, psnr: 0.97529
Train - loss: 0.00319, ssim: 40.26965, psnr: 0.98580
Train - loss: 0.00464, ssim: 37.20578, psnr: 0.97958
Train - loss: 0.00173, ssim: 47.04964, psnr: 0.99495
Train - loss: 0.00654, ssim: 35.19572, psnr: 0.94038
